Frame, TargetID, Row, Col, Int, PosX, PosY, PosZ, LosRx, LosRy, LosRz,u_LosRx,u_LosRy,u_LosRz,Year,Month,Day,Hour,Min,Sec,profile
0,1,140.370522499722,119.218289308215,10000,-1264960.14528269,-4691220.15191455,4125789.26315202,0.495459000744886,0.753049921155702,-0.432939019757136,0.495459000744886,0.753049921155702,-0.432939019757137,2013,10,9,0,0,0,0
0,2,169.454339379002,137.554475329616,10000,-1224878.89491701,-4729799.71329334,4093926.93768199,0.49650375151114,0.751885882223569,-0.433764503905344,0.49650375151114,0.751885882223569,-0.433764503905344,2013,10,9,0,0,0,0
0,3,172.722011012944,135.675377527698,10000,-1217688.76678493,-4729821.90331799,4096031.51393764,0.49666633739788,0.751830350363822,-0.43367461715852,0.49666633739788,0.751830350363822,-0.43367461715852,2013,10,9,0,0,0,0
0,4,199.161175728865,62.8226424973571,10000,-1119316.34240237,-4665675.45489896,4195770.43341187,0.49864060764344,0.752478140052654,-0.430272231444093,0.49864060764344,0.752478140052654,-0.430272231444093,2013,10,9,0,0,0,0
0,5,231.686652699149,220.902044526068,10000,-1167015.21703429,-4857326.64012159,3960211.76913904,0.498223179839086,0.748537559173224,-0.437567349762321,0.498223179839086,0.748537559173224,-0.437567349762321,2013,10,9,0,0,0,0
0,6,68.7085447967179,86.64705837624,10000,-1370921.05985655,-4608000.7706522,4184901.88519274,0.492734121817981,0.755668105599663,-0.431484413827057,0.492734121817981,0.755668105599663,-0.431484413827057,2013,10,9,0,0,0,0
0,7,145.247771910718,55.8377412078236,10000,-1212332.40781076,-4623936.07287666,4215946.92354122,0.496394310294833,0.754120427854262,-0.429994266240635,0.496394310294833,0.754120427854262,-0.429994266240635,2013,10,9,0,0,0,0
0,8,198.233556682304,252.416706878324,10000,-1248325.31367994,-4869470.03785898,3920570.50850983,0.496415332223574,0.748867750940591,-0.439054563277208,0.496415332223574,0.748867750940591,-0.439054563277208,2013,10,9,0,0,0,0
0,9,249.727016476476,213.97679503379,10000,-1129434.24676871,-4860947.03691826,3966617.46424341,0.49908019990339,0.748163598888758,-0.43723012632047,0.49908019990339,0.748163598888758,-0.43723012632047,2013,10,9,0,0,0,0
0,10,152.054874977584,129.410197807252,10000,-1250817.00924977,-4709862.37913623,4108940.88781225,0.495846456636608,0.752528529202467,-0.433401781465295,0.495846456636608,0.752528529202467,-0.433401781465295,2013,10,9,0,0,0,0
1,1,140.14286613429,119.061207583813,10000,-1265263.26716432,-4690901.3157198,4126057.02317315,0.495450972286129,0.753059282403929,-0.432931924493919,0.495450972286129,0.753059282403929,-0.432931924493919,2013,10,9,0,0,0.5,0
1,2,169.721590932821,137.54895045963,10000,-1224391.26156109,-4729962.78459913,4093884.68703128,0.496515345737658,0.751878505710034,-0.433764018906895,0.496515345737658,0.751878505710034,-0.433764018906895,2013,10,9,0,0,0.5,0
1,3,172.798390009103,135.425830392158,10000,-1217381.39241962,-4729598.67869743,4096378.28887609,0.496672501600195,0.751832986924528,-0.433662986576381,0.496672501600195,0.751832986924528,-0.433662986576381,2013,10,9,0,0,0.5,0
1,4,199.173678552408,62.5605099401318,10000,-1119109.09843872,-4665387.90863146,4196142.93032016,0.498644135145641,0.752482767452716,-0.430260050633982,0.498644135145642,0.752482767452716,-0.430260050633982,2013,10,9,0,0,0.5,0
1,5,231.701090403941,221.170640437065,10000,-1167164.03695129,-4857616.7555351,3959814.71863457,0.498220683234122,0.748531967802453,-0.437579757273473,0.498220683234122,0.748531967802453,-0.437579757273473,2013,10,9,0,0,0.5,0
1,6,68.4407354050859,86.6698057787574,10000,-1371412.85512718,-4607844.94927161,4184912.25275831,0.492722271803593,0.755675116271746,-0.431485667799509,0.492722271803593,0.755675116271746,-0.431485667799509,2013,10,9,0,0,0.5,0
1,7,145.448753113289,55.6777067404475,10000,-1211856.85370264,-4623884.31118685,4216139.11827442,0.496404811198088,0.754117847681822,-0.429986668662096,0.496404811198088,0.754117847681822,-0.429986668662096,2013,10,9,0,0,0.5,0
1,8,198.499453617811,252.465720688346,10000,-1247874.16215504,-4869686.48654316,3920446.12469129,0.496426223187257,0.748859342317016,-0.439056591291557,0.496426223187258,0.748859342317016,-0.439056591291557,2013,10,9,0,0,0.5,0
1,9,249.797184590986,213.723484628321,10000,-1129139.34460187,-4860722.68116322,3966973.93907547,0.49908615834643,0.748166509957839,-0.437218343536166,0.49908615834643,0.748166509957839,-0.437218343536166,2013,10,9,0,0,0.5,0
1,10,151.890964635208,129.188310345143,10000,-1250962.38509493,-4709515.56668903,4109291.77106931,0.495841930146395,0.75253735582774,-0.43339163396689,0.495841930146395,0.75253735582774,-0.43339163396689,2013,10,9,0,0,0.5,0
2,1,139.915211077984,118.904120684664,10000,-1265566.36062115,-4690582.44158757,4126324.77072584,0.495442943843287,0.753068643561651,-0.432924828902331,0.495442943843287,0.753068643561651,-0.432924828902331,2013,10,9,0,0,1,0
2,2,169.988833113298,137.543413398469,10000,-1223903.61102346,-4730125.80434357,4093842.43607601,0.496526939605746,0.751871129550328,-0.433763533269529,0.496526939605746,0.751871129550328,-0.433763533269529,2013,10,9,0,0,1,0
2,3,172.87475443984,135.176288235139,10000,-1217074.0227777,-4729375.41466747,4096725.04326863,0.496678665027222,0.751835623662284,-0.433651356159671,0.496678665027222,0.751835623662284,-0.433651356159671,2013,10,9,0,0,1,0
2,4,199.186170462572,62.2983851837818,10000,-1118901.85561613,-4665100.32801388,4196515.40205517,0.498647661997177,0.752487394873122,-0.430247870118855,0.498647661997177,0.752487394873122,-0.430247870118855,2013,10,9,0,0,1,0
2,5,231.71551951337,221.439243033738,10000,-1167312.85381549,-4857906.83753436,3959417.643259,0.498218186086284,0.748526376401608,-0.437592165016663,0.498218186086284,0.748526376401608,-0.437592165016663,2013,10,9,0,0,1,0
2,6,68.1729162948111,86.6925408452625,10000,-1371904.63367743,-4607689.07510302,4184922.62030451,0.492710421416744,0.755682127303612,-0.431486921124178,0.492710421416744,0.755682127303612,-0.431486921124178,2013,10,9,0,0,1,0
2,7,145.64971571736,55.5176672693481,10000,-1211381.30233086,-4623832.49747608,4216331.30622341,0.496415311267843,0.754115267992633,-0.429979070792114,0.496415311267843,0.754115267992633,-0.429979070792114,2013,10,9,0,0,1,0
2,8,198.765344862629,252.514723135477,10000,-1247422.98880371,-4869902.88813834,3920321.73848656,0.496437113940956,0.748850933929117,-0.439058618700811,0.496437113940956,0.748850933929117,-0.439058618700811,2013,10,9,0,0,1,0
2,9,249.867338268731,213.470178876256,10000,-1128844.44711504,-4860498.28629214,3967330.39377948,0.499092116023207,0.748169421206993,-0.437206560900303,0.499092116023207,0.748169421206993,-0.437206560900303,2013,10,9,0,0,1,0
2,10,151.727055478997,128.966424531313,10000,-1251107.73812347,-4709168.72257746,4109642.63312853,0.495837403588701,0.752546182236595,-0.433381486456841,0.495837403588701,0.752546182236595,-0.433381486456841,2013,10,9,0,0,1,0
3,1,139.687557334579,118.747028611582,10000,-1265869.42564811,-4690263.5295199,4126592.50580924,0.495434915416517,0.753078004628737,-0.43291773298241,0.495434915416517,0.753078004628737,-0.43291773298241,2013,10,9,0,0,1.5,0
3,2,170.256065916561,137.537864146673,10000,-1223415.94330972,-4730288.77252521,4093800.18481617,0.496538533115236,0.751863753744569,-0.433763046993282,0.496538533115236,0.751863753744569,-0.433763046993282,2013,10,9,0,0,1.5,0
3,3,172.951104303351,134.926751058775,10000,-1216766.65786334,-4729152.1112285,4097071.77711344,0.496684827678864,0.75183826057711,-0.433639725908505,0.496684827678864,0.75183826057711,-0.433639725908505,2013,10,9,0,0,1.5,0
3,4,199.198651458566,62.0362682306968,10000,-1118694.61393737,-4664812.71304752,4196887.84861461,0.498651188197991,0.752492022313861,-0.430235689898837,0.498651188197991,0.752492022313861,-0.430235689898837,2013,10,9,0,0,1.5,0
3,5,231.729940027642,221.707852313547,10000,-1167461.66762516,-4858196.88611781,3959020.5430149,0.498215688395606,0.748520784970725,-0.437604572991762,0.498215688395606,0.748520784970725,-0.437604572991762,2013,10,9,0,0,1.5,0
3,6,67.9050874699202,86.7152635751871,10000,-1372396.39550161,-4607533.1481481,4184932.98783134,0.492698570657612,0.75568913869514,-0.431488173801025,0.492698570657612,0.75568913869514,-0.431488173801025,2013,10,9,0,0,1.5,0
3,7,145.850659719556,55.3576227957402,10000,-1210905.75370126,-4623780.63174308,4216523.48738786,0.496425810503944,0.754112688786787,-0.429971472630761,0.496425810503944,0.754112688786787,-0.429971472630761,2013,10,9,0,0,1.5,0
3,8,199.031230412982,252.563714219956,10000,-1246971.79363122,-4870119.24264314,3920197.34989573,0.496448004484506,0.748842525777012,-0.439060645504989,0.496448004484506,0.748842525777012,-0.439060645504989,2013,10,9,0,0,1.5,0
3,9,249.937477508043,213.216877779771,10000,-1128549.55431221,-4860273.85230551,3967686.82835357,0.499098072933629,0.748172332636238,-0.437194778412996,0.499098072933629,0.748172332636238,-0.437194778412996,2013,10,9,0,0,1.5,0
3,10,151.563147511723,128.744540367576,10000,-1251253.0683321,-4708821.84680392,4109993.47398803,0.495832876963631,0.752555008428917,-0.433371338935238,0.495832876963631,0.752555008428917,-0.433371338935238,2013,10,9,0,0,1.5,0
4,1,139.459904907849,118.589931365392,10000,-1266172.46224016,-4689944.57951882,4126860.22842252,0.495426887005975,0.753087365605057,-0.432910636734193,0.495426887005975,0.753087365605057,-0.432910636734193,2013,10,9,0,0,2,0
4,2,170.523289338724,137.532302704786,10000,-1222928.25842542,-4730451.68914264,4093757.93325176,0.496550126265956,0.751856378292873,-0.433762560078192,0.496550126265956,0.751856378292873,-0.433762560078192,2013,10,9,0,0,2,0
