Frame, TargetID, Row, Col, Int, PosX, PosY, PosZ, LosRx, LosRy, LosRz,u_LosRx,u_LosRy,u_LosRz,Year,Month,Day,Hour,Min,Sec,profile
0,1,183.76388166547,54.7075096479306,0,-1202577.28664738,-4616221.788132,4227104.56651485,-0.0459578962755098,0.592509512520568,-0.804251421722442,-0.0459578962755098,0.592509512520568,-0.804251421722442,2013,10,9,0,0,0.25,0
0,2,77.5913019952532,182.286124932189,0,-1401120.32661855,-4753716.89204055,4009391.72105823,-0.0513204724904734,0.586997552222843,-0.807960446301516,-0.0513204724904734,0.586997552222843,-0.807960446301516,2013,10,9,0,0,0.25,0
0,3,116.846083369014,108.06907913073,0,-1327641.55108897,-4669956.95525078,4130185.61922134,-0.0493576964115169,0.590162850508889,-0.805773930878985,-0.0493576964115169,0.590162850508889,-0.805773930878985,2013,10,9,0,0,0.25,0
0,4,115.955802098615,33.1510155632339,0,-1329875.15614702,-4574232.12278938,4234562.12020843,-0.0494569325911083,0.593263759063565,-0.803487475944987,-0.0494569325911083,0.593263759063565,-0.803487475944987,2013,10,9,0,0,0.25,0
0,5,195.61599787293,58.2474575364493,0,-1180360.835706,-4623084.35510059,4225874.83113374,-0.0453463986664283,0.592386296625192,-0.804376889087867,-0.0453463986664283,0.592386296625192,-0.804376889087867,2013,10,9,0,0,0.25,0
0,6,57.2473133646973,249.906711556883,0,-1439349.44224227,-4831755.72607953,3901836.01967069,-0.0523158311009821,0.584137816368405,-0.809966706293885,-0.0523158311009821,0.584137816368405,-0.809966706293885,2013,10,9,0,0,0.25,0
0,7,87.1779272741369,129.528328084277,0,-1383292.98284423,-4690190.71119941,4089064.80192177,-0.0508662984667167,0.589210052706282,-0.806377165766836,-0.0508662984667167,0.589210052706282,-0.806377165766836,2013,10,9,0,0,0.25,0
0,8,64.2616411298426,223.1728220589,0,-1426144.5871739,-4800856.06929822,3944307.67860958,-0.0519752387140702,0.585267105337808,-0.809173028449489,-0.0519752387140702,0.585267105337809,-0.809173028449489,2013,10,9,0,0,0.25,0
0,9,125.168208659486,87.7618106062125,0,-1312151.52509873,-4646088.90594225,4161720.63721197,-0.0489447404021135,0.591022025974804,-0.805169160611364,-0.0489447404021135,0.591022025974804,-0.805169160611364,2013,10,9,0,0,0.25,0
0,10,216.474046898785,240.174734818722,0,-1139976.80674849,-4854481.80619982,3971483.48519825,-0.0441428676551003,0.584869848835962,-0.809925099720822,-0.0441428676551003,0.584869848835962,-0.809925099720822,2013,10,9,0,0,0.25,0
1,1,183.76388166547,54.7075096479306,0,-1202577.28664738,-4616221.788132,4227104.56651485,-0.0459578962755098,0.592509512520568,-0.804251421722442,-0.0459578962755098,0.592509512520568,-0.804251421722442,2013,10,9,0,0,0.75,0
1,2,77.69562272508,182.045818387947,0,-1400924.60611995,-4753444.16801455,4009780.81813685,-0.0513152890418648,0.587007769940378,-0.807953352081774,-0.0513152890418648,0.587007769940378,-0.807953352081774,2013,10,9,0,0,0.75,0
1,3,116.846083369014,108.06907913073,0,-1327641.55108897,-4669956.95525078,4130185.61922134,-0.0493576964115169,0.590162850508889,-0.805773930878985,-0.0493576964115169,0.590162850508889,-0.805773930878985,2013,10,9,0,0,0.75,0
1,4,115.955802098615,33.1510155632339,0,-1329875.15614702,-4574232.12278938,4234562.12020843,-0.0494569325911083,0.593263759063565,-0.803487475944987,-0.0494569325911083,0.593263759063565,-0.803487475944987,2013,10,9,0,0,0.75,0
1,5,195.67889271611,58.5153563728426,0,-1180240.6054251,-4623439.29620447,4225522.45148054,-0.0453429758810253,0.592375329811437,-0.80438515847139,-0.0453429758810253,0.592375329811437,-0.80438515847139,2013,10,9,0,0,0.75,0
1,6,57.2383848488274,250.172459143654,0,-1439366.15915931,-4832076.57729093,3901435.19893102,-0.0523160934806842,0.584126716950749,-0.809974693991892,-0.0523160934806842,0.584126716950749,-0.809974693991893,2013,10,9,0,0,0.75,0
1,7,87.1779272741369,129.528328084277,0,-1383292.98284423,-4690190.71119941,4089064.80192177,-0.0508662984667167,0.589210052706282,-0.806377165766836,-0.0508662984667167,0.589210052706282,-0.806377165766836,2013,10,9,0,0,0.75,0
1,8,64.2616411298426,223.1728220589,0,-1426144.5871739,-4800856.06929822,3944307.67860958,-0.0519752387140702,0.585267105337808,-0.809173028449489,-0.0519752387140702,0.585267105337809,-0.809173028449489,2013,10,9,0,0,0.75,0
1,9,125.168208659486,87.7618106062125,0,-1312151.52509873,-4646088.90594225,4161720.63721197,-0.0489447404021135,0.591022025974804,-0.805169160611364,-0.0489447404021135,0.591022025974804,-0.805169160611364,2013,10,9,0,0,0.75,0
1,10,216.474046898785,240.174734818722,0,-1139976.80674849,-4854481.80619982,3971483.48519825,-0.0441428676551003,0.584869848835962,-0.809925099720822,-0.0441428676551003,0.584869848835962,-0.809925099720822,2013,10,9,0,0,0.75,0
2,1,183.76388166547,54.7075096479306,0,-1202577.28664738,-4616221.788132,4227104.56651485,-0.0459578962755098,0.592509512520568,-0.804251421722442,-0.0459578962755098,0.592509512520568,-0.804251421722442,2013,10,9,0,0,1.25,0
2,2,77.799947063927,181.805502650433,0,-1400728.88289231,-4753171.40989898,4010169.89063274,-0.0513101054048346,0.58701798794221,-0.807946257442674,-0.0513101054048346,0.58701798794221,-0.807946257442674,2013,10,9,0,0,1.25,0
2,3,116.846083369014,108.06907913073,0,-1327641.55108897,-4669956.95525078,4130185.61922134,-0.0493576964115169,0.590162850508889,-0.805773930878985,-0.0493576964115169,0.590162850508889,-0.805773930878985,2013,10,9,0,0,1.25,0
2,4,115.955802098615,33.1510155632339,0,-1329875.15614702,-4574232.12278938,4234562.12020843,-0.0494569325911083,0.593263759063565,-0.803487475944987,-0.0494569325911083,0.593263759063565,-0.803487475944987,2013,10,9,0,0,1.25,0
2,5,195.741799959926,58.7832483098938,0,-1180120.35350959,-4623794.20652436,4225170.04888789,-0.0453395524539062,0.592364363187627,-0.804393427502113,-0.0453395524539062,0.592364363187627,-0.804393427502113,2013,10,9,0,0,1.25,0
2,6,57.229465058169,250.438199169974,0,-1439382.86207708,-4832397.3977627,3901034.35367893,-0.0523163554079929,0.584115617759625,-0.809982681324802,-0.0523163554079929,0.584115617759625,-0.809982681324802,2013,10,9,0,0,1.25,0
2,7,87.1779272741369,129.528328084277,0,-1383292.98284423,-4690190.71119941,4089064.80192177,-0.0508662984667167,0.589210052706282,-0.806377165766836,-0.0508662984667167,0.589210052706282,-0.806377165766836,2013,10,9,0,0,1.25,0
2,8,64.2616411298426,223.1728220589,0,-1426144.5871739,-4800856.06929822,3944307.67860958,-0.0519752387140702,0.585267105337808,-0.809173028449489,-0.0519752387140702,0.585267105337809,-0.809173028449489,2013,10,9,0,0,1.25,0
2,9,125.168208659486,87.7618106062125,0,-1312151.52509873,-4646088.90594225,4161720.63721197,-0.0489447404021135,0.591022025974804,-0.805169160611364,-0.0489447404021135,0.591022025974804,-0.805169160611364,2013,10,9,0,0,1.25,0
2,10,216.474046898785,240.174734818722,0,-1139976.80674849,-4854481.80619982,3971483.48519825,-0.0441428676551003,0.584869848835962,-0.809925099720822,-0.0441428676551003,0.584869848835962,-0.809925099720822,2013,10,9,0,0,1.25,0
3,1,183.76388166547,54.7075096479306,0,-1202577.28664738,-4616221.788132,4227104.56651485,-0.0459578962755098,0.592509512520568,-0.804251421722442,-0.0459578962755098,0.592509512520568,-0.804251421722442,2013,10,9,0,0,1.75,0
